TIME,VALUE,LABEL
0.000000000,0.892367
0.023219955,0
0.046439909,0
0.069659864,0.0519192
0.092879819,0
0.116099773,0
0.139319728,0
0.162539683,0
0.185759637,0
0.208979592,0
0.232199546,0
0.255419501,0
0.278639456,0
0.301859410,0
0.325079365,0
0.348299320,0
0.371519274,0.0346938
0.394739229,0.00742031
0.417959184,0
0.441179138,0
0.464399093,0
0.487619048,0
0.510839002,0
0.534058957,0
0.557278912,0
0.580498866,0
0.603718821,0.00375326
0.626938776,0
0.650158730,0
0.673378685,0.000176649
0.696598639,0
0.719818594,0
0.743038549,0
0.766258503,0
0.789478458,0
0.812698413,0
0.835918367,0.00689982
0.859138322,0.00774125
0.882358277,0
0.905578231,0
0.928798186,0
0.952018141,0.00165312
0.975238095,0
0.998458050,0
1.021678005,0.00333417
1.044897959,0.0344007
1.068117914,0
1.091337868,0
1.114557823,0
1.137777778,0.00171021
1.160997732,0
1.184217687,0
1.207437642,0
1.230657596,0
1.253877551,0
1.277097506,0
1.300317460,0
1.323537415,0
1.346757370,0
1.369977324,0
1.393197279,0
1.416417234,0
1.439637188,0
1.462857143,0
1.486077098,0.0103703
1.509297052,0.0100732
1.532517007,0.0412163
1.555736961,0.0428473
1.578956916,0.0352498
1.602176871,0.0571822
1.625396825,0.000114501
1.648616780,0.0032888
1.671836735,0
1.695056689,0.0113736
1.718276644,0
1.741496599,0
1.764716553,0
1.787936508,0.0193438
1.811156463,0.0204211
1.834376417,0
1.857596372,0
1.880816327,0
1.904036281,0
1.927256236,0
1.950476190,0
1.973696145,0
1.996916100,0
2.020136054,0
2.043356009,0.00197738
2.066575964,0
2.089795918,0
2.113015873,0
2.136235828,0.00190314
2.159455782,0
2.182675737,0
2.205895692,0
2.229115646,0.00813232
2.252335601,0.0435358
2.275555556,0.00283372
2.298775510,0.0137931
2.321995465,0.0118474
2.345215420,0.0136657
2.368435374,0
2.391655329,0
2.414875283,0
2.438095238,0.00405551
2.461315193,0.00459756
2.484535147,0
2.507755102,0
2.530975057,0
2.554195011,0
2.577414966,0
2.600634921,0
2.623854875,0.00109208
2.647074830,0.000627358
2.670294785,0
2.693514739,0.0121989
2.716734694,0.0107792
2.739954649,0.000974054
2.763174603,0
2.786394558,0.00340474
2.809614512,0.000937064
2.832834467,0.00291109
2.856054422,0.0206307
2.879274376,0
2.902494331,0
2.925714286,0
2.948934240,0
2.972154195,0
2.995374150,0.00310756
3.018594104,0
3.041814059,0
3.065034014,0
3.088253968,0
3.111473923,0
3.134693878,0.0319882
3.157913832,0.000545346
3.181133787,0.00585766
3.204353741,0
3.227573696,0.00438289
3.250793651,0
3.274013605,0.0163936
3.297233560,0.0145793
3.320453515,0
3.343673469,0.0135712
3.366893424,0
3.390113379,0
3.413333333,0
3.436553288,0.0129387
3.459773243,0
3.482993197,0
3.506213152,0
3.529433107,0
3.552653061,0
3.575873016,0
3.599092971,0
3.622312925,0.000407471
3.645532880,0.00672949
3.668752834,0
3.691972789,0
3.715192744,0.0260892
3.738412698,0
3.761632653,0.00963705
3.784852608,0
3.808072562,0.0099744
3.831292517,0
3.854512472,0
3.877732426,0
3.900952381,0
3.924172336,0.0122652
3.947392290,0.006777
3.970612245,0
3.993832200,0
4.017052154,0
4.040272109,0.000311119
4.063492063,0
4.086712018,0
4.109931973,0
4.133151927,0
4.156371882,0
