TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.541931,0.285725,0.0560692,0.00961847,0.0335341,0.27171,0.534112,0.283475,0.0871931,0.0702618,0.0323824,0.34758,1.06506,0.75646,0.160485,0.092317,0.138042,0.40257,0.534039,0.278073,0.0560274,0.010328,0.0364976,0.174675,0.390889,0.451601,0.223827,0.137133,0.101212,0.101627,0.17813,0.305714,0.133107,0.0235991,0.0871428,0.369566,0.735629,1.00872,0.589323,0.263762,0.0571182,0.0576675,0.372984,0.51737,0.214099,0.0528692,0.0268508,0.139803,0.206163,0.356824,0.354877,0.118825,0.0067303,0.0298656,0.147245,0.416208,0.372722,0.0927947,0.0593297,0.0763188,0.427549,1.07438,1.03268,0.446243,0.0815679,0.0778677,0.0916533,0.398865,0.456786,0.115334,0.00266834,0.000411021,0.107033,0.43185,0.501659,0.214648,0.121396,0.103398,0.0599176,0.143351,0.272618
1.486077098,0.667996,0.404303,0.0579124,0.00961847,0.0799287,0.304853,0.598498,0.308434,0.192663,0.113827,0.0323824,0.356483,1.18499,0.956836,0.207178,0.092317,0.138042,0.447063,0.554256,0.33993,0.161894,0.0495978,0.0370687,0.183677,0.410411,0.473596,0.272808,0.153394,0.103633,0.101711,0.22371,0.377302,0.161309,0.0242665,0.0871428,0.398418,0.748402,1.10821,0.70353,0.296221,0.0571182,0.0576675,0.434863,0.567689,0.252899,0.0589123,0.0268508,0.140156,0.220883,0.389691,0.380786,0.132419,0.0380335,0.0345027,0.160322,0.455323,0.444143,0.171621,0.0593297,0.0763188,0.465808,1.14309,1.08315,0.460336,0.109788,0.0795184,0.124426,0.437104,0.519554,0.153128,0.0067689,0.000411021,0.120699,0.484104,0.577849,0.246221,0.121396,0.103398,0.0909252,0.209619,0.321166
2.972154195,0.718493,0.413735,0.0634389,0.00961847,0.096119,0.468724,0.822189,0.321271,0.193959,0.113827,0.0410139,0.432632,1.35696,1.10043,0.207178,0.092317,0.138042,0.458203,0.643677,0.457824,0.164112,0.0495978,0.0771971,0.282533,0.44781,0.490701,0.288193,0.153394,0.124321,0.195364,0.407774,0.459303,0.162793,0.0242665,0.0871428,0.442971,0.954314,1.42086,0.708207,0.296221,0.0571182,0.0576675,0.45923,0.675532,0.34693,0.0589123,0.0268508,0.202182,0.465129,0.479671,0.39383,0.14026,0.0380335,0.0352989,0.203101,0.602368,0.493932,0.17346,0.0593297,0.0763188,0.533249,1.38204,1.24644,0.470223,0.109788,0.0802798,0.13245,0.483057,0.662912,0.178876,0.0067689,0.00363887,0.12793,0.598779,0.634961,0.261517,0.125613,0.103398,0.129093,0.300087,0.341368
4.458231293,0.938272,0.552465,0.130864,0.00961847,0.096119,0.518459,0.985925,0.397431,0.193959,0.113827,0.0410139,0.548521,1.62123,1.29385,0.213033,0.092317,0.138042,0.503286,0.933797,0.729652,0.18697,0.0495978,0.0771971,0.30295,0.585106,0.643434,0.415619,0.153394,0.124321,0.310268,0.739314,0.626009,0.166964,0.0242665,0.0871428,0.442971,1.09837,1.72179,0.844721,0.296221,0.0571182,0.0579442,0.545535,0.843565,0.555367,0.0928422,0.0268508,0.202182,0.48066,0.550672,0.518923,0.205678,0.0380335,0.0352989,0.287312,0.790608,0.55081,0.17346,0.0593297,0.0763188,0.606633,1.66202,1.43618,0.489522,0.109788,0.0802798,0.149942,0.580802,0.817706,0.242647,0.0067689,0.00363887,0.222148,0.722399,0.815876,0.461118,0.125613,0.103398,0.177632,0.445574,0.445746
5.944308390,1.2308,0.571268,0.137293,0.00961847,0.130656,0.679851,1.32206,0.4497,0.195278,0.113827,0.0410139,0.790708,1.91101,1.3906,0.246815,0.092317,0.138042,0.553149,1.39333,0.866903,0.211702,0.0495978,0.0807659,0.407221,0.744981,0.778935,0.454032,0.153394,0.124321,0.442181,1.22367,0.836796,0.214856,0.0244586,0.0871428,0.442971,1.46016,2.24428,1.0142,0.296221,0.0571182,0.1115,0.665154,1.1252,0.836453,0.171605,0.0268508,0.202182,0.65729,0.769967,0.609699,0.219602,0.0380335,0.0558908,0.325546,1.02317,0.736843,0.176285,0.0593297,0.0763188,0.754281,1.90747,1.60435,0.562695,0.109788,0.0802798,0.152671,0.820805,1.10829,0.28363,0.0067689,0.00363887,0.305748,0.863571,1.07538,0.541911,0.125613,0.103398,0.254691,0.811877,0.725214
7.430385488,1.25796,0.660188,0.156948,0.00961847,0.130656,0.68908,1.39461,0.557728,0.208813,0.113827,0.0410139,0.815932,2.05015,1.54452,0.282827,0.092317,0.138042,0.55993,1.47053,1.00346,0.269045,0.0552792,0.0915934,0.464218,0.839761,0.971205,0.522598,0.154279,0.124321,0.473491,1.3658,1.03931,0.302238,0.0390588,0.0871428,0.442971,1.57137,2.58413,1.17009,0.296221,0.0571182,0.124303,0.707039,1.38047,1.14081,0.20767,0.0268508,0.232353,0.767017,0.904214,0.75747,0.263683,0.0389881,0.0618464,0.406557,1.28996,0.976272,0.18354,0.0593297,0.0763188,0.822789,2.10014,1.74021,0.599952,0.109788,0.0802798,0.176423,0.992796,1.33829,0.304022,0.015968,0.00520788,0.321767,0.910187,1.27967,0.594549,0.125613,0.103398,0.314362,0.969571,0.857484
8.916462585,1.3264,0.685439,0.172499,0.0162655,0.135024,0.712035,1.44657,0.581629,0.212112,0.11403,0.0410139,0.818042,2.06178,1.57337,0.300705,0.0955516,0.138042,0.559996,1.47062,1.00365,0.269704,0.0557106,0.0923002,0.471434,0.863904,1.00184,0.529403,0.154279,0.124333,0.47359,1.36592,1.04092,0.304175,0.0395293,0.0872502,0.4435,1.57139,2.66926,1.2048,0.297325,0.0574761,0.124715,0.7072,1.38537,1.15104,0.210969,0.0268508,0.232353,0.803767,1.01499,0.815079,0.280664,0.0389881,0.0618567,0.408682,1.35194,1.14484,0.190549,0.0593297,0.0764159,0.854868,2.22613,1.97889,0.650302,0.109788,0.0802798,0.179277,1.12824,1.50914,0.397264,0.0195275,0.0115766,0.36287,1.07112,1.50761,0.747115,0.148861,0.103398,0.347129,1.13324,1.053
10.402539683,1.32764,0.6874,0.173351,0.0166935,0.136969,0.714565,1.44753,0.581746,0.21219,0.114256,0.0411698,0.818042,2.06179,1.57339,0.300705,0.0956781,0.140276,0.568415,1.47464,1.0042,0.269704,0.055749,0.0924099,0.471532,0.864017,1.00193,0.529484,0.154336,0.124418,0.47367,1.36595,1.04092,0.304183,0.0400145,0.0906235,0.449282,1.5741,2.67003,1.20525,0.297523,0.0575133,0.124715,0.7072,1.38537,1.15104,0.210969,0.0270851,0.233948,0.806395,1.01608,0.815307,0.28085,0.0390245,0.0618567,0.408682,1.35194,1.14485,0.190568,0.0593755,0.0773495,0.860301,2.23727,1.9906,0.662769,0.118866,0.0840353,0.180073,1.12831,1.50914,0.397264,0.0195275,0.0115766,0.36287,1.07112,1.50761,0.747115,0.148868,0.103404,0.347129,1.13324,1.053
11.888616780,1.32872,0.690103,0.173864,0.0166935,0.136969,0.714565,1.44753,0.582923,0.220157,0.123912,0.0453993,0.819363,2.06348,1.57405,0.301588,0.0991127,0.146255,0.572957,1.48023,1.00774,0.269981,0.0559561,0.0929331,0.47235,0.865162,1.00326,0.545305,0.164781,0.126251,0.474815,1.3669,1.04264,0.305044,0.0400273,0.0906235,0.449282,1.5741,2.67015,1.2068,0.300336,0.0611242,0.127416,0.710584,1.38693,1.15414,0.212713,0.0271367,0.233994,0.806429,1.01615,0.815519,0.281054,0.0394429,0.0620678,0.408764,1.35335,1.14833,0.192868,0.0618469,0.0795703,0.862294,2.23807,1.99615,0.663309,0.118872,0.0840353,0.180082,1.12845,1.51128,0.398817,0.0211468,0.012826,0.364196,1.07328,1.5089,0.747193,0.148882,0.103404,0.347132,1.13329,1.05301
