"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2022","spotify:track:1Is8hGpkGMiePASAxBluxM","16_2022","The Melodic Blue","Baby Keem","2021-09-10",156040,76,TRUE,NA,1970-01-01,NA,"Columbia",0.701,0.782,1,-4.987,1,0.138,0.0918,2.31e-06,0.124,0.57,94.03,4,"16_2022"
"2022","spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Party","Un Verano Sin Ti","Bad Bunny;Rauw Alejandro","2022-05-06",227628,84,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4,"Party"
"2022","spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","OneRepublic","2022-05-13",148485,82,FALSE,NA,1970-01-01,"soft pop","Interscope Records",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,"I Ain't Worried"
"2022","spotify:track:7vSqIX6kwfYDyr5p3PKtEU","Jungle Fury","Jungle Fury","RIOT","2019-01-10",309517,30,FALSE,NA,1970-01-01,"dubstep,deathstep,riddim","Monstercat",0.5,0.968,1,-0.471,1,0.0702,0.00218,0.812,0.676,0.176,145.017,4,"Jungle Fury"
"2022","spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Sultans Of Swing_2022","Dire Straits","Dire Straits","1978-10-07",348400,85,FALSE,NA,1970-01-01,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4,"Sultans Of Swing_2022"
"2022","spotify:track:71wFwRo8xGc4lrcyKwsvba","Callaita","Un Verano Sin Ti","Bad Bunny;Tainy","2022-05-06",250533,82,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.608,0.626,2,-4.773,1,0.301,0.597,2.16e-06,0.25,0.246,176.086,4,"Callaita"
"2022","spotify:track:1JSTJqkT5qHq8MDJnJbRE1","Every Breath You Take","Synchronicity (Remastered 2003)","The Police","1983-06-17",253920,93,FALSE,NA,1970-01-01,NA,"Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,"Every Breath You Take"
"2022","spotify:track:48Jf12YHPBCAfAzi255Rvr","Redlight","Paradise Again","Swedish House Mafia;Sting","2022-04-15",242880,63,FALSE,NA,1970-01-01,"edm,soft rock","Republic Records",0.71,0.63,2,-7.003,1,0.0413,0.00879,0.147,0.058,0.216,125,4,"Redlight"
"2022","spotify:track:0oUBuOO4g9P4lREqfqR5nq","A Man Without Love_2022","A Man Without Love","Engelbert Humperdinck","1968-08-03",203133,70,FALSE,NA,1970-01-01,NA,"Decca (UMO)",0.538,0.467,2,-9.589,1,0.0327,0.637,0,0.115,0.507,111.766,4,"A Man Without Love_2022"
"2022","spotify:track:5CzixCxDkRXX9mScCmah8O","Un Ratito","Un Verano Sin Ti","Bad Bunny","2022-05-06",176936,79,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,4,"Un Ratito"
