Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3GFoDacN5fI2FplYzqmr4R,"Dolla Dolla Bill","Dolla Dolla Bill","Josylvio",2020-10-08,142778,41,true,,1970-01-01T00:00:00Z,"","Hella Cash",0.799,0.581,11,-8.114,0,0.167,0.509,0.00000123,0.137,0.291,103.08,4
spotify:track:5ddFjrPG8NgQQ6xlOQIVd2,"Tú Me Dejaste De Querer","El Madrileño","C. Tangana;Niño de Elche;La Húngara",2021-02-26,198493,74,false,,1970-01-01T00:00:00Z,"flamenco,flamenco pop,flamenco urbano","Sony Music Entertainment",0.823,0.723,4,-4.778,0,0.229,0.311,0.00315,0.0998,0.505,83.97,4
spotify:track:3USxtqRwSYz57Ewm6wWRMp,"Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,87,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:4CEGyF5A5u5BjweVvkgCsn,"Crown","Heavy Is The Head","Stormzy",2019-12-13,213463,57,false,,1970-01-01T00:00:00Z,"grime,uk grime,uk drill","Atlantic Records UK",0.542,0.581,9,-5.687,1,0.159,0.701,0.00000102,0.0741,0.0857,108.909,4
spotify:track:4nZ8G4Wug5skiiCicDSdVt,"Ballieman","Bogey 4 the Win","Sevn Alias",2020-10-02,159143,0,true,,1970-01-01T00:00:00Z,"","1OAK Entertainment",0.741,0.717,11,-8.867,0,0.334,0.067,0.00186,0.124,0.711,92.926,4
spotify:track:0goOUCNL6MYrqSVvGhvsxw,"A92 x Fumez The Engineer - Plugged In Freestyle","A92 x Fumez The Engineer - Plugged In Freestyle","Fumez The Engineer;A92;Offica",2020-10-08,240000,1,true,,1970-01-01T00:00:00Z,"uk drill,drill,grime,uk grime","Fumez The Engineer",0.856,0.427,2,-13.297,1,0.365,0.0958,0,0.1,0.774,144.118,4
spotify:track:2rCbl9naJYhaxjLsfx88uM,"Pareja Del Año","Pareja Del Año","Sebastian Yatra;Myke Towers",2021-04-16,195053,71,false,,1970-01-01T00:00:00Z,"colombian pop,reggaeton,trap latino,urbano latino","UMLE - Latino",0.715,0.622,4,-5.102,0,0.046,0.163,0,0.0948,0.808,80.015,4
spotify:track:65OVbaJR5O1RmwOQx0875b,"Wants and Needs (feat. Lil Baby)","Scary Hours 2","Drake;Lil Baby",2021-03-05,192956,78,true,,1970-01-01T00:00:00Z,"rap","OVO",0.578,0.449,1,-6.349,1,0.286,0.0618,0.00000217,0.119,0.1,136.006,4
spotify:track:0PjtIvwCFQMkWoFTVWsCsi,"One and Only (feat. Ella Mai)","Big Conspiracy","J Hus;Ella Mai",2020-01-24,206840,43,true,,1970-01-01T00:00:00Z,"afroswing,grime,uk grime,afrobeats,r&b","Black Butter",0.566,0.66,1,-6.068,0,0.139,0.173,0.00000135,0.172,0.844,93.507,4
spotify:track:1ZgBI28HHFtHDf0l0fchoQ,"Saxsex","Saxsex","LouiVos",2020-12-29,156000,32,false,,1970-01-01T00:00:00Z,"","Dirty Drip Entertainment",0.884,0.396,4,-10.198,0,0.142,0.07,0.00823,0.0991,0.437,94.014,4
spotify:track:1YnCInissFkmQTfZv3k2mT,"Paper Zien - Remix","Paper Zien (Remix)","Yssi SB;D-Double;Henkie T;Jack;Sevn Alias;Josylvio",2020-06-25,248823,44,true,,1970-01-01T00:00:00Z,"","Quatro Vision",0.814,0.578,1,-9.539,1,0.379,0.154,0,0.104,0.713,140.056,4
spotify:track:3SK45LddxlEkzI8OWO9Eyo,"Ingobernable","El Madrileño","C. Tangana;Gipsy Kings;Nicolás Reyes;Tonino Baliardo",2021-02-26,187053,70,false,,1970-01-01T00:00:00Z,"flamenco,flamenco pop,flamenco urbano","Sony Music Entertainment",0.705,0.757,6,-5.608,0,0.0656,0.195,0.000228,0.0524,0.737,104.973,4
spotify:track:2vZwuxoRNuhZ93PWhcVbnN,"Gordelweg","Gordelweg","Kevin",2020-05-21,155897,41,true,,1970-01-01T00:00:00Z,"","Animal Stories / Noah’s Ark BV",0.711,0.659,1,-6.872,1,0.331,0.157,0,0.132,0.411,89.998,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,83,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
spotify:track:5jOQ0W7YhM9FCtwCd1bNp8,"Het Leven Is Een Trip","Het Leven Is Een Trip","Josylvio;Lijpe",2020-11-12,188187,42,true,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.855,0.53,6,-7.751,0,0.317,0.155,0.000143,0.0988,0.388,108.04,4
spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,"Hello (feat. A Boogie Wit da Hoodie)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke;A Boogie Wit da Hoodie",2020-07-20,190534,61,true,,1970-01-01T00:00:00Z,"brooklyn drill,new york drill,drill,melodic rap","Victor Victor Worldwide",0.905,0.647,10,-5.065,0,0.107,0.0187,0,0.282,0.367,130.97,4
spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,"Fiel","Los Legendarios 001","Los Legendarios;Wisin;JHAYCO",2021-02-04,261665,66,false,,1970-01-01T00:00:00Z,"reggaeton,latin,trap latino,urbano latino","La Base Music Group/ WK Records",0.849,0.701,6,-4.407,0,0.06,0.407,0,0.112,0.505,98.005,4
spotify:track:3dPtXHP0oXQ4HCWHsOA9js,"夜に駆ける","夜に駆ける","YOASOBI",2019-12-15,261013,70,false,,1970-01-01T00:00:00Z,"j-pop,anime","YOASOBI",0.67,0.874,8,-5.221,1,0.0305,0.00231,0.0000172,0.3,0.789,130.041,4
