Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5QO79kh1waicV47BqGRL3g,"Save Your Tears","After Hours","The Weeknd",2020-03-20,215626,87,true,,1970-01-01T00:00:00Z,"","Republic Records",0.679,0.825,0,-5.487,1,0.0309,0.0212,0.0000121,0.543,0.644,118.049,4
spotify:track:3SAga35lAPYdjj3qyfEsCF,"Feel It (From “Invincible”)","Feel It (From “Invincible”)","d4vd",2024-03-28,157974,78,false,,1970-01-01T00:00:00Z,"","Darkroom/Interscope Records",0.565,0.593,8,-5.864,1,0.0883,0.0288,0,0.215,0.429,120.509,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,85,false,,1970-01-01T00:00:00Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:0uHrMbMv3c78398pIANDqR,"Europapa","Europapa","Joost",2024-02-29,160218,66,false,,1970-01-01T00:00:00Z,"gabber,europop","Joost Klein",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
spotify:track:0wEGo9LsSrSUz9HOtraWAO,"Overcompensate","Overcompensate","Twenty One Pilots",2024-02-29,236000,64,false,,1970-01-01T00:00:00Z,"","Fueled By Ramen",0.363,0.891,5,-5.563,0,0.0978,0.00992,0.00183,0.134,0.331,95.089,4
spotify:track:4kjI1gwQZRKNDkw1nI475M,"MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,80,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack/Epic",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,80,true,,1970-01-01T00:00:00Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:024pThriWXJRFgGQuixYs7,"Luchtballon","Luchtballon","Joost",2024-06-04,136363,54,false,,1970-01-01T00:00:00Z,"gabber,europop","Joost Klein",0.613,0.915,6,-6.212,1,0.0843,0.171,0.000101,0.143,0.43,176.083,4
spotify:track:2ygMBIctKIAfbEBcT9065L,"Pump It","Monkey Business","Black Eyed Peas",2005-01-01,213066,84,true,,1970-01-01T00:00:00Z,"","Interscope",0.648,0.931,1,-3.15,0,0.181,0.00937,0,0.752,0.744,153.649,4
spotify:track:7vtGOauV0Zz8Px5EJYm7d7,"Life in Rio","Life in Rio","Slowboy;NUEKI;Crazy Mano;TOLCHONOV",2023-03-17,94418,61,true,,1970-01-01T00:00:00Z,"phonk,brazilian phonk,rally house,drift phonk","Void of Phonk / Aurorian Records / Black 17 Media",0.726,0.971,2,-2.126,1,0.0408,0.00393,0.275,0.446,0.7,129.081,4
spotify:track:1ulgMAx95xb3N33SMklfG3,"Stiekem","Stiekem ft. Goldband","Maan;Goldband",2022-11-04,203437,14,false,,1970-01-01T00:00:00Z,"nederpop,hollands","8ball Music",0.747,0.577,1,-8.047,0,0.0323,0.0151,0.0000115,0.194,0.642,127.965,4
spotify:track:0aJrYfARfCKzv6gXjhs4SZ,"Upside Down","Upside Down","Jack Johnson",2006-02-24,209546,77,false,,1970-01-01T00:00:00Z,"surf rock","Brushfire Records/Universal",0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477,4
