Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3bH4HzoZZFq8UpZmI2AMgV,"New Light","New Light","John Mayer",2018-05-10,216014,2,false,,2019-12-12T22:26:39Z,"singer-songwriter","Snack Money",0.828,0.689,7,-7.878,1,0.0326,0.325,0.0384,0.0808,0.853,123.931,4
spotify:track:4VqTRBvYg0z8C4nsl4Hupy,"Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone;Swae Lee",2019-09-06,157560,0,false,,2019-12-12T22:26:39Z,"","Republic Records",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,"Goodbyes (feat. Young Thug)","Hollywood's Bleeding","Post Malone;Young Thug",2019-09-06,174853,77,true,,2019-12-12T22:26:39Z,"rap,melodic rap,trap","Republic Records",0.547,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.097,4
spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Old Town Road","Lil Nas X;Billy Ray Cyrus",2019-04-05,157066,3,false,,2019-12-12T22:26:39Z,"","Columbia",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
spotify:track:3QpkbrYXtlU3LRJu3sTK6V,"Joy","Joy","Bastille",2019-05-02,192522,0,false,,2019-12-12T22:26:39Z,"","Virgin Records Ltd",0.559,0.915,9,-4.811,1,0.132,0.222,0,0.113,0.361,117.914,4
spotify:track:51Fjme0JiitpyXKuyQiCDo,"Lalala","Lalala","Y2K;bbno$",2019-06-28,160626,72,true,,2019-12-12T22:26:39Z,"","Columbia",0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
spotify:track:3HVDrXFKGC2kfo4JfZmG1M,"Mijn Club","Mijn Club","Kees Prins;Vincent van Warmerdam",2015-08-17,366946,0,false,,2019-12-12T22:26:39Z,"hollands","WilmarMusic",0.306,0.691,2,-4.886,1,0.0578,0.246,0,0.384,0.234,197.251,3
spotify:track:5XeIQO9gGkGo54naYVVeJP,"Mr. Fear","BOUNCE INTO THE MUSIC","SIAMES",2016-08-02,246508,57,false,,2019-12-12T22:26:39Z,"","SIAMÉS",0.638,0.659,11,-7.023,0,0.0277,0.0478,0.000195,0.459,0.665,107.991,4
spotify:track:2leIuE4fdcJoNMSKu5Yr7a,"Staring At The Sun (feat. SZA)","Hollywood's Bleeding","Post Malone;SZA",2019-09-06,168280,0,true,,2019-12-12T22:26:39Z,"r&b","Republic Records",0.724,0.772,6,-4.389,0,0.184,0.248,0,0.308,0.347,95.074,4
spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,"How Do You Sleep?","How Do You Sleep?","Sam Smith",2019-07-19,202204,67,false,,2019-12-12T22:26:39Z,"soft pop","PLG - Capitol",0.561,0.682,1,-4.931,0,0.0856,0.153,0,0.0763,0.359,165.944,4
spotify:track:2nLgWMdYPO35GGpwX2xo23,"Monophobia","mau5ville: Level 1","deadmau5;Rob Swire",2018-07-13,214670,0,false,,2019-12-12T22:26:39Z,"edm,progressive house,dubstep,drum and bass","mau5trap Recordings Limited",0.545,0.747,6,-4.877,0,0.0429,0.00153,0.00397,0.135,0.224,128.045,4
spotify:track:75YepABRsjjwo7YLU5QA0X,"OEFF","Yung Pokro","Yung Felix;Poke",2019-03-29,134083,46,true,,2019-12-12T22:26:39Z,"moombahton","Noah's Ark BV",0.734,0.686,1,-5.227,0,0.24,0.0201,0.000362,0.127,0.655,120.328,4
spotify:track:6MWtB6iiXyIwun0YzU6DFP,"Wow.","Wow.","Post Malone",2018-12-24,149520,3,true,,2019-12-12T22:26:39Z,"","Republic Records",0.833,0.539,11,-7.399,0,0.178,0.163,0.0000021,0.101,0.385,99.947,4
spotify:track:58kZ9spgxmlEznXGu6FPdQ,"Sick Boy","Sick Boy","The Chainsmokers",2018-12-14,193200,64,false,,2019-12-12T22:26:39Z,"","Disruptor Records/Columbia",0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,4
spotify:track:4ua0IepBEISCWwF8dTJvcU,"Ghosts 'n' Stuff","For Lack Of A Better Name","deadmau5;Rob Swire",2009-01-01,328253,59,false,,2019-12-12T22:26:39Z,"edm,progressive house,dubstep,drum and bass","Mau5trap/Virgin",0.617,0.617,8,-6.941,1,0.122,0.0000397,0.0598,0.253,0.517,127.996,4
spotify:track:2NRE8AQXIVxzNmwnBKOLBe,"Loca","Loca","Alvaro Soler",2019-01-25,191129,31,false,,2019-12-12T22:26:39Z,"","Sony Music Entertainment",0.794,0.579,5,-8.064,0,0.0432,0.0347,0,0.125,0.519,113.034,4
spotify:track:51MMC5DogGZAnHil5HQAXg,"Circles","Hollywood's Bleeding","Post Malone",2019-09-06,215280,0,false,,2019-12-12T22:26:39Z,"","Republic Records",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
spotify:track:2MMVw3XbLBGA3s4BV1Yjep,"さよならごっこ","Play Goodbye","amazarashi",2019-02-13,270880,0,false,,2019-12-12T22:26:39Z,"anime,j-rock,j-pop","NITRON concepts",0.62,0.716,6,-5.07,0,0.079,0.381,0,0.176,0.599,146.979,4
spotify:track:6fTt0CH2t0mdeB2N9XFG5r,"Panini","7","Lil Nas X",2019-06-21,114893,65,false,,2019-12-12T22:26:39Z,"","Columbia",0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
spotify:track:4n7jnSxVLd8QioibtTDBDq,"On My Way","On My Way","Alan Walker;Sabrina Carpenter;Farruko",2019-03-21,193797,73,true,,2019-12-12T22:26:39Z,"pop,reggaeton,trap latino","Kreatell Music",0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
spotify:track:12k0NUMsOO9SK7CnY5ABkU,"Ik Sta Jou Beter","Ik Sta Jou Beter","Kris Kross Amsterdam;Nielson",2019-07-26,176524,43,false,,2019-12-12T22:26:39Z,"hollands,nederpop","Spinnin' Records",0.705,0.728,4,-5.299,0,0.0774,0.0915,0,0.282,0.376,100.924,4
spotify:track:77Y7tccX9Hx5iClDr39uy9,"Hollywood's Bleeding","Hollywood's Bleeding","Post Malone",2019-09-06,156266,0,false,,2019-12-12T22:26:39Z,"","Republic Records",0.405,0.646,4,-3.206,0,0.0476,0.331,0,0.103,0.17,130.218,4
spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,"Panini - DaBaby Remix","Panini","Lil Nas X;DaBaby",2019-09-13,151040,58,false,,2019-12-12T22:26:39Z,"","Columbia",0.717,0.598,5,-5.613,0,0.0809,0.22,0,0.122,0.496,153.905,4
spotify:track:3xaugmCyXrVkrDTXbFkMW3,"Sanctuary","Sanctuary","Joji",2019-06-14,180018,1,false,,2019-12-12T22:26:39Z,"","88rising Music/Warner Records",0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788,4
spotify:track:0pzzHVScTeyjERAvxH1pyS,"Avond","De Avonden","Boudewijn de Groot",2005-01-01,273920,33,false,,2019-12-12T22:26:39Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.487,0.377,0,-14.908,1,0.0411,0.613,0.000766,0.137,0.168,99.208,4
spotify:track:2Fxmhks0bxGSBdJ92vM42m,"bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,82,false,,2019-12-12T22:26:39Z,"","Darkroom/Interscope Records",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
spotify:track:6bJ9c5VIx8jbf5U34qHAFm,"Big Man","Big Man","Sevn Alias;Mula B;Trobi",2019-02-08,163125,46,true,,2019-12-12T22:26:39Z,"","1OAK Entertainment",0.769,0.737,11,-6.458,0,0.17,0.000491,0.00802,0.471,0.631,96.041,4
spotify:track:4heFQCyiW0RUEX1Q1lb008,"Different World (feat. CORSAK)","Different World","Alan Walker;K-391;Sofia Carson;CORSAK",2018-12-14,202906,58,false,,2019-12-12T22:26:39Z,"chinese r&b","Kreatell Music",0.602,0.752,7,-4.931,0,0.0361,0.0638,0,0.13,0.331,130.037,4
spotify:track:4BV8ZyGLSNpt12q3OiZlOX,"4 Life","4 Life","Jonna Fraser;Lil Kleine;$hirak",2019-07-11,195511,43,true,,2019-12-12T22:26:39Z,"","Noah's Ark BV",0.933,0.47,5,-8.263,0,0.222,0.0824,0.000375,0.078,0.136,105.041,4
spotify:track:0taBVXnPJpCucnlj8Xi9V6,"Geef Mij Je Angst","Voor Jou","Andre Hazes",1983-01-01,259026,55,false,,2019-12-12T22:26:39Z,"hollands,nederpop","Universal Music, a division of Universal International Music BV",0.439,0.478,7,-9.168,0,0.0278,0.136,0,0.2,0.321,139.638,4
spotify:track:2t8yVaLvJ0RenpXUIAC52d,"a lot","i am > i was","21 Savage",2018-12-21,288624,80,true,,2019-12-12T22:26:39Z,"","Slaughter Gang, LLC/Epic Records",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
spotify:track:6alIH9pO3MTVW56AzSuDGj,"DomDoen","DomDoen","Henkie T;Jonna Fraser",2019-06-28,156081,43,true,,2019-12-12T22:26:39Z,"","Quatro Vision",0.806,0.69,3,-7.74,0,0.123,0.0939,0,0.0768,0.83,100.111,4
spotify:track:3spdoTYpuCpmq19tuD0bOe,"My Way","My Way (Expanded Edition)","Frank Sinatra",1969-03,276800,78,false,,2019-12-12T22:26:39Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.401,0.381,2,-7.458,1,0.0274,0.7,0,0.122,0.229,75.454,4
spotify:track:5KawlOMHjWeUjQtnuRs22c,"Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS;Halsey",2019-04-12,229773,3,false,,2019-12-12T22:26:39Z,"k-pop","BIGHIT MUSIC / HYBE",0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,4
spotify:track:5pIlTStzsYk3h5Nnf7BWPw,"ハグルマ","Haguruma","KANA-BOON",2019-03-06,218573,0,false,,2019-12-12T22:26:39Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.301,0.927,4,-3.79,0,0.0506,0.0000343,0,0.211,0.594,82.469,4
spotify:track:0rKtyWc8bvkriBthvHKY8d,"SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,4,true,,2019-12-12T22:26:39Z,"","88rising Music/Warner Records",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
spotify:track:2OKo7g3KfmCt3kyLvUAL0g,"The Search","The Search","NF",2019-05-30,248040,69,false,,2019-12-12T22:26:39Z,"christian hip hop","NF Real Music",0.789,0.786,2,-4.788,1,0.297,0.596,0,0.0997,0.39,119.957,4
spotify:track:6UFEJuDXQMWhL5UH5f9fUR,"Enemies (feat. DaBaby)","Hollywood's Bleeding","Post Malone;DaBaby",2019-09-06,196760,1,true,,2019-12-12T22:26:39Z,"","Republic Records",0.542,0.674,6,-4.169,1,0.21,0.0588,0,0.0955,0.667,76.388,4
spotify:track:4Tvw0lweq9l2JPQKFbpbBQ,"Better When You're Gone","Better When You're Gone","David Guetta;Brooks;Loote",2019-02-08,192402,57,false,,2019-12-12T22:26:39Z,"edm,future house","Parlophone (France)",0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,4
spotify:track:7nHeBk3OsoBCLlQNpSxEgn,"Face My Fears (Japanese Version)","Face My Fears","Hikaru Utada;Skrillex",2019-01-18,222017,41,false,,2019-12-12T22:26:39Z,"j-pop,j-r&b,anime,dubstep,edm,electro,electronic","NITRON concepts",0.626,0.729,1,-6.785,0,0.102,0.0135,0,0.133,0.441,159.762,3
spotify:track:1ZreCbCSHpRcvqYpXlxnYC,"The Wolf","BOUNCE INTO THE MUSIC","SIAMES",2016-08-02,186945,65,false,,2019-12-12T22:26:39Z,"","SIAMÉS",0.544,0.742,8,-5.117,1,0.0283,0.000633,0.000392,0.207,0.659,96.012,4
spotify:track:5519RhpzObr9Mn3iqoeodJ,"Come and Get Your Love","The Essential Redbone","Redbone",2003-01-01,300200,59,false,,2019-12-12T22:26:39Z,"native american music","Epic/Legacy",0.674,0.785,11,-6.126,0,0.0535,0.127,0.000079,0.0764,0.853,105.543,4
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,"The Sound of Silence","The Graduate","Simon & Garfunkel",1968-01-21,185440,0,false,,2019-12-12T22:26:39Z,"folk rock,folk","Columbia",0.435,0.456,6,-10.305,1,0.0279,0.136,0.00000162,0.124,0.529,107.529,4
spotify:track:0ZDkMMdWTw9ykmmIGUVnrS,"Zo Kan Het Dus Ook","Zo Kan Het Dus Ook","Maan",2019-07-12,154436,5,false,,2019-12-12T22:26:39Z,"nederpop,hollands","8ball Music",0.579,0.671,6,-5.901,1,0.119,0.57,0,0.217,0.842,91.764,4
