Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Ojitos Lindos","Un Verano Sin Ti","Bad Bunny;Bomba Estéreo",2022-05-06,258298,87,false,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino,latin alternative,electrocumbia","Rimas Entertainment LLC",0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,4
spotify:track:6Xom58OOXk2SoU711L2IXO,"Moscow Mule","Un Verano Sin Ti","Bad Bunny",2022-05-06,245939,87,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.804,0.674,5,-5.453,0,0.0333,0.294,0.00000118,0.115,0.292,99.968,4
spotify:track:2JPLbjOn0wPCngEot2STUS,"Yonaguni","Yonaguni","Bad Bunny",2021-06-04,206710,82,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,4
spotify:track:5RubKOuDoPn5Kj5TLVxSxY,"TE MUDASTE","EL ÚLTIMO TOUR DEL MUNDO","Bad Bunny",2020-11-27,130013,76,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,4
spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Me Porto Bonito","Un Verano Sin Ti","Bad Bunny;Chencho Corleone",2022-05-06,178567,86,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
spotify:track:1nH2PkJL1XoUq8oE6tBZoU,"Sacrifice","Dawn FM","The Weeknd",2022-01-06,188918,71,true,,1970-01-01T00:00:00Z,"","XO / Republic Records",0.735,0.795,11,-6.523,0,0.113,0.0296,0.0000318,0.0678,0.905,122,4
spotify:track:4Dvkj6JhhA12EX05fT7y2e,"As It Was","Harry's House","Harry Styles",2022-05-20,167303,91,false,,1970-01-01T00:00:00Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:3iM9wFGlyR28IBZrXYZK9j,"Cold as Ice - 2008 Remaster","No End in Sight: The Very Best of Foreigner","Foreigner",2008-07-08,200026,54,false,,1970-01-01T00:00:00Z,"aor,classic rock","Rhino",0.554,0.708,3,-5.318,0,0.0271,0.0594,0.00000268,0.143,0.512,131.159,4
spotify:track:0fea68AdmYNygeTGI4RC18,"LA CANCIÓN","OASIS","J Balvin;Bad Bunny",2019-06-28,242573,92,false,,1970-01-01T00:00:00Z,"reggaeton,latin,trap latino,urbano latino","Universal Music Latino / Rimas",0.756,0.646,7,-5.795,1,0.319,0.152,0.0000181,0.108,0.429,176.088,4
spotify:track:39shmbIHICJ2Wxnk1fPSdz,"Should I Stay or Should I Go - Remastered","Combat Rock (Remastered)","The Clash",1982,188987,84,false,,1970-01-01T00:00:00Z,"punk","Sony Music UK",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,4
spotify:track:0K0JJ3QZEHYhBwkE21L2HZ,"skeletons","life's a beach","hard life",2021-05-28,178713,53,false,,1970-01-01T00:00:00Z,"","Universal-Island Records Ltd.",0.779,0.733,9,-8.137,0,0.0734,0.0177,0.0011,0.591,0.515,115.009,4
spotify:track:1Is8hGpkGMiePASAxBluxM,"16","The Melodic Blue","Baby Keem",2021-09-10,156040,76,true,,1970-01-01T00:00:00Z,"","Columbia",0.701,0.782,1,-4.987,1,0.138,0.0918,0.00000231,0.124,0.57,94.03,4
spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Party","Un Verano Sin Ti","Bad Bunny;Rauw Alejandro",2022-05-06,227628,84,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4
spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,"I Ain't Worried","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","OneRepublic",2022-05-13,148485,82,false,,1970-01-01T00:00:00Z,"soft pop","Interscope Records",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
spotify:track:7vSqIX6kwfYDyr5p3PKtEU,"Jungle Fury","Jungle Fury","RIOT",2019-01-10,309517,30,false,,1970-01-01T00:00:00Z,"dubstep,deathstep,riddim","Monstercat",0.5,0.968,1,-0.471,1,0.0702,0.00218,0.812,0.676,0.176,145.017,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,85,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:71wFwRo8xGc4lrcyKwsvba,"Callaita","Un Verano Sin Ti","Bad Bunny;Tainy",2022-05-06,250533,82,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.608,0.626,2,-4.773,1,0.301,0.597,0.00000216,0.25,0.246,176.086,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:48Jf12YHPBCAfAzi255Rvr,"Redlight","Paradise Again","Swedish House Mafia;Sting",2022-04-15,242880,63,false,,1970-01-01T00:00:00Z,"edm,soft rock","Republic Records",0.71,0.63,2,-7.003,1,0.0413,0.00879,0.147,0.058,0.216,125,4
spotify:track:0oUBuOO4g9P4lREqfqR5nq,"A Man Without Love","A Man Without Love","Engelbert Humperdinck",1968-08-03,203133,70,false,,1970-01-01T00:00:00Z,"","Decca (UMO)",0.538,0.467,2,-9.589,1,0.0327,0.637,0,0.115,0.507,111.766,4
spotify:track:5CzixCxDkRXX9mScCmah8O,"Un Ratito","Un Verano Sin Ti","Bad Bunny",2022-05-06,176936,79,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.787,0.546,0,-7.094,0,0.0532,0.305,0.0000455,0.122,0.222,93.05,4
spotify:track:1YR7VB3xx85Iad2n3soyMb,"Amsterdam","Amsterdam","Cristian D;$hirak;Brysa;Ashafar",2022-01-13,173534,55,true,,1970-01-01T00:00:00Z,"","Maison $hirak",0.908,0.52,0,-7.688,0,0.0782,0.0457,0,0.109,0.81,134.046,4
spotify:track:7KA4W4McWYRpgf0fWsJZWB,"See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator;Kali Uchis",2017-07-21,180386,89,true,,1970-01-01T00:00:00Z,"","Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
spotify:track:622sVNQCspoVUqFWzOYYcj,"A Man Without Love","Live In Concert / All of Me","Engelbert Humperdinck",1968,205640,52,false,,1970-01-01T00:00:00Z,"","Epic/Legacy",0.386,0.473,2,-12.416,1,0.0345,0.729,0,0.271,0.498,110.322,4
spotify:track:0HqZX76SFLDz2aW8aiqi7G,"Bones","Bones","Imagine Dragons",2022-03-11,165264,76,false,,1970-01-01T00:00:00Z,"","KIDinaKORNER/Interscope Records",0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
spotify:track:2IV6ArKIuTpNxqXCCHd0mG,"Vluchtstrook","Vluchtstrook","Kris Kross Amsterdam;Antoon;Sigourney K",2021-11-26,148467,58,false,,1970-01-01T00:00:00Z,"hollands,nederpop","KKA/Dreamteam/Cloud 9/Ownit",0.73,0.771,6,-6.973,0,0.0534,0.0321,0,0.127,0.689,159.979,4
spotify:track:2beS6dD5rovBxSA1zYoSHR,"No Me Conoce - Remix","Famouz","JHAYCO;J Balvin;Bad Bunny",2019-05-24,309120,85,false,,1970-01-01T00:00:00Z,"reggaeton,trap latino,urbano latino,latin","N&E Entertainment LLC",0.804,0.787,10,-3.824,0,0.0746,0.14,0,0.0927,0.562,91.974,4
spotify:track:59NB4aFUAVG4lM6p7jsEas,"Battlefield 3 Main Theme","Battlefield 3 (Original Soundtrack)","Johan Skugge;Jukka Rintamäki",2011,115986,45,false,,1970-01-01T00:00:00Z,"soundtrack","EA Music",0.481,0.749,7,-12.657,1,0.0544,0.335,0.9,0.102,0.394,169.975,3
spotify:track:5VzNsUnLmYcRfRfxpQsusa,"La Nota","Dopamina","Manuel Turizo;Rauw Alejandro;Myke Towers",2021-04-09,216107,65,false,,1970-01-01T00:00:00Z,"reggaeton,pop urbano,colombian pop,latin,trap latino,urbano latino","Sony Music Latin/La Industria",0.736,0.632,11,-4.939,0,0.0648,0.18,0,0.349,0.503,92.03,4
spotify:track:3USxtqRwSYz57Ewm6wWRMp,"Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,87,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:1RijmOnza5p9CzaFKr8W1Y,"Soy Peor - Remix","Soy Peor Remix","Bad Bunny;J Balvin;Ozuna;Arcángel",2017-06-22,315846,68,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.823,0.457,0,-7.036,0,0.119,0.214,0,0.352,0.268,115.991,4
spotify:track:4qv2m0hQwaVF5ss13PXrQK,"Followers","Greatest Hits Vol. 1","AREA21;Martin Garrix;Maejor",2021-11-12,177186,44,false,,1970-01-01T00:00:00Z,"edm,progressive house,electronica","Hollywood Records",0.561,0.811,11,-4.167,1,0.0403,0.194,0.0000613,0.309,0.34,145.04,4
spotify:track:78FHUZRbFDCG6VkRAQdFLm,"Broken Wings","Welcome To The Real World","Mr. Mister",1985-11-27,343933,71,false,,1970-01-01T00:00:00Z,"","RCA Records Label",0.286,0.5,1,-14.281,0,0.0357,0.134,0.0000457,0.108,0.443,99.162,4
spotify:track:7cyGxmLnHWlwt41cr2RZzG,"Do It To It","Do It To It","ACRAZE;Cherish",2021-08-20,157890,75,false,,1970-01-01T00:00:00Z,"tech house","Thrive Music",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
spotify:track:5Eax0qFko2dh7Rl2lYs3bx,"Efecto","Un Verano Sin Ti","Bad Bunny",2022-05-06,213061,84,true,,1970-01-01T00:00:00Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,0.234,98.047,4
spotify:track:6gkN5lGMV6Dt5Ac8zuErDR,"Battlefield 2042","Battlefield 2042 (Official Soundtrack)","Hildur Guðnadóttir;Sam Slater",2021-09-09,152413,30,false,,1970-01-01T00:00:00Z,"neoclassical,drone,score,contemporary classical","EA Music",0.472,0.414,10,-11.447,0,0.0269,0.000292,0.901,0.257,0.0579,89.034,3
spotify:track:5lWSa1rmuSL6OBPOnkAqoa,"Rasputin","Daddy Cool","Boney M.",1994-03-14,220666,72,false,,1970-01-01T00:00:00Z,"disco","Ariola Express",0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,4
